Time (ms),y target (mm),y tip (mm)
14754,0.05942061,-0.09167317
14779,0.02986025,-0.08968037
14804,-0.0008341707,-0.08915282
14829,-0.03675205,-0.0897288
14854,-0.07366438,-0.0907045
14879,-0.1130932,-0.09154114
14904,-0.1130932,-0.09154114
14929,-0.1742426,-0.0889113
14954,-0.2013721,-0.0848548
14979,-0.1948421,-0.08140628
15005,-0.1948421,-0.08140628
15029,-0.1622693,-0.07985286
15054,-0.1180213,-0.07938229
15079,-0.07787393,-0.082147
15105,-0.03764837,-0.0854803
15129,0.02091362,-0.09038022
15154,0.02091362,-0.09038022
15180,0.05764377,-0.09246068
15205,0.07403734,-0.0931755
15229,0.07787174,-0.09094768
15255,0.07253838,-0.08729886
15279,0.05769806,-0.08378511
15304,0.0275001,-0.07842974
15329,0.0275001,-0.07842974
15355,-0.002801217,-0.07558263
15379,-0.05117403,-0.07301068
15404,-0.1029349,-0.06908469
15429,-0.1410977,-0.06595883
15454,-0.1816911,-0.06095897
15479,-0.1816911,-0.06095897
15505,-0.2034561,-0.05830562
15530,-0.1940552,-0.05801731
15555,-0.1684315,-0.06141268
15580,-0.1393283,-0.06563829
15605,-0.1393283,-0.06563829
15630,-0.09496349,-0.07098493
15655,-0.04809532,-0.07632478
15680,-0.01522669,-0.07832225
15705,-0.01522669,-0.07832225
15730,0.02985874,-0.07972101
15755,0.04480609,-0.08046379
15780,0.0492488,-0.08080775
15805,0.04617395,-0.08059175
15830,0.03433391,-0.07974418
15855,0.004442503,-0.0776362
15881,-0.04068654,-0.07615973
15906,-0.04068654,-0.07615973
15930,-0.1111879,-0.07626688
15955,-0.168578,-0.07763459
15980,-0.168578,-0.07763459
16006,-0.2159845,-0.07790341
16030,-0.2352918,-0.07649851
16055,-0.2201985,-0.07511829
16081,-0.1949194,-0.0746656
