Time (ms),y target (mm),y tip (mm)
32120,0.0331341,-0.1470097
32170,0.03295306,-0.1462042
32220,0.03432892,-0.1448523
32270,0.04696948,-0.1372217
32320,0.04677097,-0.1316439
32370,0.04958187,-0.1260296
32421,0.04806415,-0.1239399
32472,0.05771039,-0.1145959
32521,0.05786175,-0.1103298
32571,0.05765054,-0.103379
32621,0.06043436,-0.09537894
32671,0.06405338,-0.08522554
32722,0.06647319,-0.07850412
32772,0.06924579,-0.06128929
32822,0.07093969,-0.05472943
32872,0.0700607,-0.04859814
32922,0.07161394,-0.03821505
32972,0.07260132,-0.03246191
33022,0.07217159,-0.03221514
33072,0.07371971,-0.03223801
33122,0.07154792,-0.03147114
33172,0.0541417,-0.03062872
33272,-0.1036368,-0.03099138
33322,-0.1800153,-0.03098346
33372,-0.1941998,-0.03061749
33422,-0.1938585,-0.03235231
33472,-0.2215439,-0.04040119
33523,-0.2248202,-0.0500057
33572,-0.2256192,-0.05643486
33622,-0.2247798,-0.05930785
33672,-0.2260569,-0.06395428
33722,-0.2257583,-0.07441186
33772,-0.2250222,-0.08681004
33822,-0.2242311,-0.09785138
33872,-0.2237591,-0.101719
33922,-0.2230885,-0.1107257
33972,-0.2230837,-0.1143802
34022,-0.2217001,-0.1238419
34072,-0.2222929,-0.1292153
34122,-0.2223724,-0.1350202
34172,-0.2228672,-0.1432454
34222,-0.2235605,-0.1472902
34272,-0.2228611,-0.1493527
34322,-0.2245495,-0.1488123
34372,-0.2235636,-0.1476434
34422,-0.2239449,-0.1483984
34472,-0.222515,-0.1491659
34523,-0.2214647,-0.1490057
34572,-0.202938,-0.1490807
34672,-0.1420559,-0.1491118
34722,-0.04762306,-0.1472065
34772,0.008752543,-0.1473499
34822,0.0340507,-0.1473168
34872,0.05996091,-0.1468969
34922,0.06897,-0.1416332
34972,0.07206628,-0.1364674
35022,0.07111026,-0.1284787
35073,0.06976305,-0.1249896
35122,0.07109968,-0.1193855
35172,0.06979017,-0.1116053
35222,0.06871447,-0.1047246
35272,0.07172772,-0.09382148
35322,0.07160975,-0.08933821
35372,0.07175518,-0.08649892
35422,0.07627079,-0.08198176
35472,0.0828377,-0.06678625
35524,0.08708295,-0.05103472
35573,0.08609556,-0.04696495
35623,0.08838485,-0.04043079
35674,0.08966684,-0.03335233
35723,0.09190851,-0.03084522
35774,0.09458561,-0.03076031
35823,0.09483645,-0.03191942
35874,0.08299088,-0.03076151
35923,0.06336154,-0.03080165
36024,-0.2031807,-0.03077557
36074,-0.2193676,-0.03093479
36824,-0.2323226,-0.133328
36875,-0.2304319,-0.1399305
36925,-0.2305365,-0.1431659
36977,-0.2277998,-0.1481872
37027,-0.2255441,-0.1492446
37076,-0.2252002,-0.149455
37128,-0.2232871,-0.1477472
37177,-0.2238918,-0.1491155
37227,-0.2236576,-0.1492685
37277,-0.2245564,-0.1491091
37328,-0.222062,-0.1491248
37428,-0.02468142,-0.1370442
37477,0.05504916,-0.1371271
37527,0.06745712,-0.13694
37577,0.06482084,-0.1360672
37628,0.06486059,-0.1308581
37678,0.06254506,-0.1226264
37728,0.06129932,-0.1166646
37778,0.05974599,-0.1143149
37827,0.05704194,-0.1095438
37878,0.06040936,-0.09857227
37928,0.06133831,-0.08926751
37978,0.06440264,-0.08277592
38028,0.06924807,-0.07267721
38077,0.07072452,-0.06833771
38128,0.07297363,-0.05684185
38177,0.07657079,-0.04504648
38228,0.07821155,-0.03737554
38278,0.07841697,-0.02845712
38327,0.07913996,-0.01979334
38378,0.0796034,-0.01612316
38428,0.07972512,-0.01318381
38478,0.08106083,-0.01162427
38528,0.08106392,-0.01085862
38578,0.07820788,-0.03043191
38628,0.0673938,-0.0289868
38677,0.008037393,-0.03033409
38728,-0.1114689,-0.03025046
38778,-0.1570466,-0.02921358
38828,-0.2154535,-0.03387954
38878,-0.2336353,-0.04546823
38928,-0.2369872,-0.05082698
38978,-0.2376293,-0.05837683
39028,-0.2356019,-0.06565101
39078,-0.2356019,-0.06565101
