Time (ms),y target (mm),y tip (mm)
17423,-0.1298003,-0.06832699
17448,-0.139716,-0.06690679
17473,-0.145966,-0.06748452
17498,-0.1534638,-0.0689631
17523,-0.1585987,-0.07023986
17548,-0.1585987,-0.07023986
17573,-0.1642958,-0.07099508
17598,-0.1709529,-0.07079569
17623,-0.1761477,-0.06988638
17648,-0.1816212,-0.07133354
17673,-0.1816212,-0.07133354
17698,-0.1880241,-0.07452584
17723,-0.1923111,-0.07845622
17748,-0.1963876,-0.08500926
17773,-0.2011838,-0.09214023
17798,-0.2040287,-0.0974305
17823,-0.2054715,-0.1008644
17848,-0.2054715,-0.1008644
17873,-0.2096281,-0.1126808
17898,-0.2103298,-0.1191511
17923,-0.2097537,-0.1248595
17948,-0.2075466,-0.133358
17973,-0.2075466,-0.133358
17998,-0.203839,-0.1380486
18023,-0.203839,-0.1380486
18048,-0.1877428,-0.1389974
18073,-0.178468,-0.1367556
18098,-0.1682736,-0.134672
18123,-0.1543847,-0.1340558
18148,-0.1389257,-0.135595
18173,-0.1389257,-0.135595
18198,-0.1268574,-0.1371223
18223,-0.1156434,-0.1378484
18248,-0.1013791,-0.1368476
18273,-0.08655213,-0.1329671
18298,-0.07364639,-0.1285347
18323,-0.07364639,-0.1285347
18348,-0.06379691,-0.1239715
18373,-0.05364139,-0.1198452
18398,-0.04426986,-0.1168984
18423,-0.03487936,-0.1144681
18448,-0.02285622,-0.1113337
18473,-0.01163266,-0.1063801
18498,-0.00234767,-0.100841
18523,-0.00234767,-0.100841
18548,0.01315507,-0.08731138
18573,0.02248022,-0.0786536
18598,0.03430056,-0.07013457
18623,0.04042072,-0.06741057
18648,0.05339178,-0.06650193
18673,0.05339178,-0.06650193
18698,0.06589898,-0.06831554
18723,0.08489025,-0.06929541
18748,0.08489025,-0.06929541
18773,0.09366446,-0.06614696
18798,0.1034267,-0.05936566
18823,0.1110467,-0.0525713
18849,0.1186147,-0.04693499
18874,0.1269069,-0.04300646
18899,0.1336693,-0.04347413
18924,0.1336693,-0.04347413
18949,0.1462128,-0.04607352
18974,0.1520751,-0.04453662
18999,0.1583823,-0.03549688
19024,0.1583823,-0.03549688
19049,0.1633815,-0.01358099
19074,0.1633815,-0.01358099
19099,0.1624511,-0.001714852
19124,0.1566569,0.0009966213
19149,0.1485748,-0.002123358
19174,0.1332952,-0.01001983
19199,0.1332952,-0.01001983
19224,0.1251052,-0.01124816
19249,0.1118187,-0.008884338
19274,0.1118187,-0.008884338
